"year","geo","wstatus","worktime","age","sex","unit","isco08","values"
2019,"Sweden","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",23.9
2020,"Sweden","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",23.3
2021,"Sweden","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",24.1
2022,"Sweden","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",23.8
2023,"Sweden","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",23.3
2014,"Slovenia","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",18.6
2015,"Slovenia","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",19.5
2016,"Slovenia","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",20.6
2017,"Slovenia","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",19.5
2018,"Slovenia","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",20.6
2019,"Slovenia","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",19.5
2020,"Slovenia","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",20.9
2021,"Slovenia","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",21.7
2022,"Slovenia","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",21.5
2023,"Slovenia","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",20.6
2014,"Slovakia","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",18.7
2015,"Slovakia","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",18.1
2016,"Slovakia","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",18.2
2017,"Slovakia","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",18.3
2018,"Slovakia","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",18.8
2019,"Slovakia","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",19.7
2020,"Slovakia","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",19.6
2021,"Slovakia","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",19.3
2022,"Slovakia","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",20.1
2023,"Slovakia","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",19
2014,"Türkiye","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",19.3
2015,"Türkiye","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",19.1
2016,"Türkiye","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",19.4
2017,"Türkiye","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",19.5
2018,"Türkiye","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",19.1
2019,"Türkiye","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",19.1
2020,"Türkiye","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",17.9
2021,"Türkiye","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",18.8
2022,"Türkiye","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",18.5
2023,"Türkiye","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",18.4
2014,"United Kingdom","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",20.2
2015,"United Kingdom","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",20.4
2016,"United Kingdom","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",20.5
2017,"United Kingdom","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",20.6
2018,"United Kingdom","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",20.7
2019,"United Kingdom","Employed persons","Part-time","From 20 to 64 years","Males","Hour","Total",20.8
2014,"Austria","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.5
2015,"Austria","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.6
2016,"Austria","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.7
2017,"Austria","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.8
2018,"Austria","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.1
2019,"Austria","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.4
2020,"Austria","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.6
2021,"Austria","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.8
2022,"Austria","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.3
2023,"Austria","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.5
2021,"Bosnia and Herzegovina","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",18.4
2022,"Bosnia and Herzegovina","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.2
2023,"Bosnia and Herzegovina","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22
2014,"Belgium","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.7
2015,"Belgium","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.7
2016,"Belgium","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.9
2017,"Belgium","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",24.6
2018,"Belgium","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",24.5
2019,"Belgium","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",24.3
2020,"Belgium","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",24.3
2021,"Belgium","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.6
2022,"Belgium","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.6
2023,"Belgium","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.4
2014,"Bulgaria","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.4
2015,"Bulgaria","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20
2016,"Bulgaria","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.9
2017,"Bulgaria","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.2
2018,"Bulgaria","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.4
2019,"Bulgaria","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.9
2020,"Bulgaria","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.5
2021,"Bulgaria","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.3
2022,"Bulgaria","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.3
2023,"Bulgaria","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20
2014,"Switzerland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.9
2015,"Switzerland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",24.1
2016,"Switzerland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",24.3
2017,"Switzerland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",24.4
2018,"Switzerland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",24.5
2019,"Switzerland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",24.5
2020,"Switzerland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",24.4
2021,"Switzerland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",24.3
2022,"Switzerland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",24.7
2023,"Switzerland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",24.9
2014,"Cyprus","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.1
2015,"Cyprus","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.1
2016,"Cyprus","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",18.9
2017,"Cyprus","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.4
2018,"Cyprus","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.9
2019,"Cyprus","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.5
2020,"Cyprus","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.3
2021,"Cyprus","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",18.5
2022,"Cyprus","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",18.2
2023,"Cyprus","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.1
2014,"Czechia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.5
2015,"Czechia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.5
2016,"Czechia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.4
2017,"Czechia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.4
2018,"Czechia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22
2019,"Czechia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22
2020,"Czechia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.7
2021,"Czechia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.4
2022,"Czechia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.6
2023,"Czechia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.8
2014,"Germany","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.6
2015,"Germany","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.8
2016,"Germany","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20
2017,"Germany","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20
2018,"Germany","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.2
2019,"Germany","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.5
2020,"Germany","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21
2021,"Germany","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.3
2022,"Germany","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.4
2023,"Germany","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.4
2014,"Denmark","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21
2015,"Denmark","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.5
2016,"Denmark","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.5
2017,"Denmark","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.3
2018,"Denmark","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.7
2019,"Denmark","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.5
2020,"Denmark","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.7
2021,"Denmark","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.9
2022,"Denmark","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.7
2023,"Denmark","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.1
2014,"Euro area – 20 countries (from 2023)","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.6
2015,"Euro area – 20 countries (from 2023)","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.7
2016,"Euro area – 20 countries (from 2023)","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.9
2017,"Euro area – 20 countries (from 2023)","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.1
2018,"Euro area – 20 countries (from 2023)","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.3
2019,"Euro area – 20 countries (from 2023)","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.4
2020,"Euro area – 20 countries (from 2023)","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.5
2021,"Euro area – 20 countries (from 2023)","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.5
2022,"Euro area – 20 countries (from 2023)","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.7
2023,"Euro area – 20 countries (from 2023)","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.7
2014,"Estonia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.9
2015,"Estonia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.8
2016,"Estonia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.3
2017,"Estonia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.2
2018,"Estonia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.1
2019,"Estonia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.7
2020,"Estonia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.4
2021,"Estonia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.5
2022,"Estonia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.3
2023,"Estonia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.2
2014,"Greece","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.9
2015,"Greece","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.4
2016,"Greece","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.5
2017,"Greece","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.1
2018,"Greece","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.2
2019,"Greece","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.5
2020,"Greece","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.3
2021,"Greece","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.1
2022,"Greece","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21
2023,"Greece","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.2
2014,"Spain","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",18.5
2015,"Spain","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",18.8
2016,"Spain","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",18.8
2017,"Spain","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",18.9
2018,"Spain","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.3
2019,"Spain","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.4
2020,"Spain","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.5
2021,"Spain","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.2
2022,"Spain","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.7
2023,"Spain","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.7
2014,"European Union - 27 countries (from 2020)","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.9
2015,"European Union - 27 countries (from 2020)","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21
2016,"European Union - 27 countries (from 2020)","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.2
2017,"European Union - 27 countries (from 2020)","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.3
2018,"European Union - 27 countries (from 2020)","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.4
2019,"European Union - 27 countries (from 2020)","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.5
2020,"European Union - 27 countries (from 2020)","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.6
2021,"European Union - 27 countries (from 2020)","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.6
2022,"European Union - 27 countries (from 2020)","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.8
2023,"European Union - 27 countries (from 2020)","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.7
2014,"Finland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.8
2015,"Finland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.5
2016,"Finland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.5
2017,"Finland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.7
2018,"Finland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.6
2019,"Finland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.1
2020,"Finland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.3
2021,"Finland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.1
2022,"Finland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.6
2023,"Finland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.7
2014,"France","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.2
2015,"France","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.2
2016,"France","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.3
2017,"France","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.3
2018,"France","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.5
2019,"France","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.4
2020,"France","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.4
2021,"France","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.6
2022,"France","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.8
2023,"France","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.7
2014,"Croatia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.6
2015,"Croatia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.2
2016,"Croatia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.6
2017,"Croatia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.6
2018,"Croatia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.2
2019,"Croatia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.1
2020,"Croatia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.2
2021,"Croatia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.1
2022,"Croatia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.2
2023,"Croatia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.9
2014,"Hungary","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.3
2015,"Hungary","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.2
2016,"Hungary","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.8
2017,"Hungary","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.9
2018,"Hungary","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.2
2019,"Hungary","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.1
2020,"Hungary","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.6
2021,"Hungary","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.5
2022,"Hungary","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.4
2023,"Hungary","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.7
2014,"Ireland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.5
2015,"Ireland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.6
2016,"Ireland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.6
2017,"Ireland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.4
2018,"Ireland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.1
2019,"Ireland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.1
2020,"Ireland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.3
2021,"Ireland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.2
2022,"Ireland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.9
2023,"Ireland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",19.9
2014,"Iceland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.6
2015,"Iceland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",24.3
2016,"Iceland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",24.2
2017,"Iceland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",24.2
2018,"Iceland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.6
2019,"Iceland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.9
2020,"Iceland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.3
2021,"Iceland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22
2022,"Iceland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.1
2023,"Iceland","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.9
2014,"Italy","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.8
2015,"Italy","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.1
2016,"Italy","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.3
2017,"Italy","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.5
2018,"Italy","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.8
2019,"Italy","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.9
2020,"Italy","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.5
2021,"Italy","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.5
2022,"Italy","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22
2023,"Italy","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.9
2014,"Lithuania","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.8
2015,"Lithuania","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.1
2016,"Lithuania","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.5
2017,"Lithuania","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.2
2018,"Lithuania","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.2
2019,"Lithuania","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.6
2020,"Lithuania","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.6
2021,"Lithuania","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21
2022,"Lithuania","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.1
2023,"Lithuania","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.1
2014,"Luxembourg","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.3
2015,"Luxembourg","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.7
2016,"Luxembourg","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.5
2017,"Luxembourg","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.6
2018,"Luxembourg","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.6
2019,"Luxembourg","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.9
2020,"Luxembourg","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23
2021,"Luxembourg","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.2
2022,"Luxembourg","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.3
2023,"Luxembourg","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.2
2014,"Latvia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.4
2015,"Latvia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.4
2016,"Latvia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.9
2017,"Latvia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.3
2018,"Latvia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.9
2019,"Latvia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.8
2020,"Latvia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.9
2021,"Latvia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.2
2022,"Latvia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.7
2023,"Latvia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21
2014,"Montenegro","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.2
2015,"Montenegro","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.9
2016,"Montenegro","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",24.5
2017,"Montenegro","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",24.3
2018,"Montenegro","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",26
2019,"Montenegro","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",25.6
2020,"Montenegro","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",26.3
2014,"North Macedonia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.9
2015,"North Macedonia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.7
2016,"North Macedonia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22
2017,"North Macedonia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.9
2018,"North Macedonia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22
2019,"North Macedonia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.6
2020,"North Macedonia","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",20.5
2014,"Malta","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.1
2015,"Malta","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.8
2016,"Malta","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.4
2017,"Malta","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.7
2018,"Malta","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.1
2019,"Malta","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.4
2020,"Malta","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.4
2021,"Malta","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.3
2022,"Malta","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.5
2023,"Malta","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.3
2014,"Netherlands","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.8
2015,"Netherlands","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.7
2016,"Netherlands","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.2
2017,"Netherlands","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.5
2018,"Netherlands","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.6
2019,"Netherlands","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.9
2020,"Netherlands","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.7
2021,"Netherlands","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",22.6
2022,"Netherlands","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.1
2023,"Netherlands","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",23.2
2014,"Norway","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.7
2015,"Norway","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.4
2016,"Norway","Employed persons","Part-time","From 20 to 64 years","Total","Hour","Total",21.4
